question_id,question_text,correct_answer,context_text,keywords,answer_POS,answer_concept_type,difficulty_level,distractor_text,distractor_POS,semantic_similarity_to_answer,semantic_similarity_to_question,grammar_score,plausibility_label,error_type
1,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,SQL,NOUN,0.49,0.42,0.98,0,concept mismatch
2,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Main,ADJECTIVE,0.8,0.74,0.98,1,
3,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Processor Unit,NOUN_PHRASE,0.62,0.58,0.97,1,
4,The branch of mathematics dealing with shapes and sizes is called what?,Geometry,Geometry is a branch of mathematics that studies the properties of shapes and spaces.,"geometry, shapes, mathematics",NOUN,academic_discipline,medium,Trigonometry,NOUN,0.76,0.71,1,1,
5,Which of the following sorting algorithms has average time complexity O(n log n)?,Merge Sort,Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) average time complexity.,"sorting, merge sort, algorithms",NOUN,algorithm,hard,Heap Sort,NOUN,0.81,0.73,0.99,1,
6,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Chrome,NOUN,0.44,0.39,0.97,0,too unrelated
7,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.83,0.76,0.97,1,
8,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,John von Neumann,NOUN,0.76,0.72,0.97,1,
9,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,macOS,NOUN,0.63,0.55,0.97,1,
10,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Turtle,NOUN,0.82,0.75,1,1,
11,Which of the following is a prime number?,13,A prime number has exactly two distinct positive divisors: 1 and itself.,"prime number, 13, mathematics",NUM,number,medium,17,NUM,0.65,0.62,0.96,1,
12,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,HTML,UNKNOWN,0.41,0.4,0.98,0,too unrelated
